Block Name,Block Number,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,adjustedtime,azimuth,distance_m,intensity,laser_id,timestamp,vertical_angle
dataset_1,1,24853,-18.9634,-17.4439,0.299967,25.768,1526809025,22319,25.768,2,14,1526809025,0.667
dataset_1,1,24959,-18.8653,-16.8794,0.294706,25.316,1526809246,22398,25.316,6,14,1526809246,0.667
dataset_1,1,24988,-18.8105,-16.7125,0.292936,25.164,1526809302,22418,25.164,4,14,1526809302,0.667
dataset_1,1,25015,-18.9287,-16.6996,0.293867,25.244,1526809357,22438,25.244,4,14,1526809357,0.667
dataset_1,1,25045,-18.9688,-16.6176,0.293588,25.22,1526809412,22458,25.22,2,14,1526809412,0.667
dataset_1,1,25072,-19.0901,-16.6065,0.294566,25.304,1526809468,22478,25.304,2,14,1526809468,0.667
dataset_1,1,25429,-19.0485,-16.6934,0.442104,25.332,1526810191,22737,25.332,4,18,1526810191,1
dataset_1,1,25730,-18.8757,-16.9183,0,25.348,1526810784,22953,25.348,4,5,1526810784,0
dataset_1,1,25760,-18.9317,-16.8616,0,25.352,1526810839,22971,25.352,4,5,1526810839,0
dataset_1,1,25818,-19.0068,-16.6861,0,25.292,1526810949,23012,25.292,4,5,1526810949,0
dataset_1,1,25847,-19.1645,-16.7124,0,25.428,1526811005,23031,25.428,4,5,1526811005,0
dataset_1,1,25877,-19.2167,-16.6402,0,25.42,1526811060,23051,25.42,4,5,1526811060,0
dataset_1,1,25908,-19.2169,-16.5175,0,25.34,1526811115,23072,25.34,4,5,1526811115,0
dataset_1,1,26140,-18.929,-16.9781,0.147785,25.428,1526811562,23231,25.428,2,9,1526811562,0.333
dataset_1,1,26168,-18.8955,-16.8234,0.147041,25.3,1526811617,23252,25.3,2,9,1526811617,0.333
dataset_1,1,26252,-19.1069,-16.6622,0.147344,25.352,1526811783,23311,25.352,2,9,1526811783,0.333
dataset_1,1,26277,-19.2314,-16.647,0.147832,25.436,1526811838,23332,25.436,2,9,1526811838,0.333
