Block Name,Block Number,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,adjustedtime,azimuth,distance_m,intensity,laser_id,timestamp,vertical_angle
dataset_1,1,26288,-16.6974,-13.774,2.65773,21.808,1088911470,23188,21.808,15,25,1088911470,7
dataset_1,1,26316,-16.6839,-13.6653,2.64798,21.728,1088911526,23208,21.728,5,25,1088911526,7
dataset_1,1,26343,-16.7069,-13.587,2.64408,21.696,1088911581,23228,21.696,5,25,1088911581,7
dataset_1,1,26372,-16.5781,-13.3864,2.61629,21.468,1088911636,23248,21.468,5,25,1088911636,7
dataset_1,1,26482,-16.7259,-13.1242,2.61044,21.42,1088911857,23328,21.42,5,25,1088911857,7
dataset_1,1,26511,-16.76,-13.0614,2.60898,21.408,1088911913,23347,21.408,5,25,1088911913,7
dataset_1,1,26539,-16.7992,-12.9979,2.608,21.4,1088911968,23367,21.4,5,25,1088911968,7
dataset_1,1,26620,-17.2129,-13.0322,2.6509,21.752,1088912134,23427,21.752,5,25,1088912134,7
dataset_1,1,26649,-17.3218,-13.0197,2.66065,21.832,1088912190,23447,21.832,5,25,1088912190,7
dataset_1,1,26677,-17.4117,-12.9924,2.66748,21.888,1088912245,23467,21.888,5,25,1088912245,7
