timestamp,param5,param6,param1,param2,param3,param4,param7,command,target_system,target_component,source_system,source_component,confirmation,from_external
2706178224,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2003,1,1,1,1,0,0
2735071739,0.0,0.0,1.0,2.57222,-1.0,0.0,0.0,178,1,1,1,1,0,0
2762213972,0.0,0.0,1.0,7.202216,-1.0,0.0,0.0,178,1,1,1,1,0,0
2932457963,0.0,0.0,0.0,5.233251,-1.0,0.0,0.0,178,1,1,255,190,0,1
3087688995,0.0,0.0,1.0,2.57222,-1.0,0.0,0.0,178,1,1,1,1,0,0
3087809627,0.0,0.0,1.0,2.57222,0.0,0.0,0.0,178,1,1,1,5,0,1
3110143484,0.0,0.0,1.0,0.0,0.0,0.0,0.0,178,1,1,1,5,0,1
3157785952,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,2003,1,1,1,1,0,0
3159603027,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31010,1,1,255,190,0,1
3160262197,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31010,1,1,255,190,0,1
