timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,fix_type,vel_ned_valid,satellites_used
1725621812,1686681541199522,371025701,-763881210,4038,-31732,0.24000001,0.47660506,0.62100005,0.89100003,0.62,1.03,96,33,0.013,-0.013,0.001,-0.003,0.58510256,0,4,1,19
1725994491,1686681541599521,371025701,-763881209,4074,-31696,0.252,0.47663367,0.62100005,0.89000005,0.62,1.03,96,33,0.019000001,-0.015000001,0.013,-0.086,0.58510256,0,4,1,19
1726199519,1686681541799521,371025701,-763881209,4095,-31675,0.25,0.47664818,0.62200004,0.89000005,0.62,1.03,96,33,0.027,-0.026,0.0050000004,-0.042000003,0.58510256,0,4,1,19
1726395623,1686681541999522,371025701,-763881208,4118,-31652,0.252,0.47666267,0.62200004,0.88900006,0.62,1.03,96,33,0.016,-0.016,0.003,-0.069000006,0.58510256,0,4,1,19
1726595494,1686681542199521,371025701,-763881208,4128,-31642,0.24200001,0.4766766,0.62200004,0.88900006,0.62,1.03,96,33,0.059000004,-0.058000002,0.008,-0.033,0.58510256,0,4,1,19
1726812494,1686681542399521,371025701,-763881208,4168,-31602,0.23300001,0.47668988,0.62100005,0.8880001,0.62,1.03,96,28,0.022000002,-0.020000001,-0.009000001,0.044000003,0.58510256,0,4,1,19
1726996484,1686681542599521,371025703,-763881208,4166,-31604,0.16700001,0.47669947,0.62,0.8880001,0.62,1.03,96,28,0.045,0.037,0.026,0.003,0.58510256,0,4,1,19
1727197978,1686681542799521,371025706,-763881209,4245,-31525,0.24700001,0.6903267,0.62,0.89000005,0.62,1.03,96,28,0.21900001,0.164,-0.14500001,-0.41700003,0.16298686,0,4,1,19
1727394487,1686681542999522,371025707,-763881212,4487,-31283,0.25100002,0.69037557,0.61700004,0.88900006,0.62,1.03,96,28,0.22600001,-0.18400002,-0.133,-1.2090001,0.16298686,0,4,1,19
1727590485,1686681543199521,371025706,-763881214,4776,-30994,0.26200002,0.69041663,0.61600006,0.892,0.62,1.03,96,28,0.15100001,0.008,-0.15100001,-1.023,0.16298686,0,4,1,19
1727790772,1686681543399521,371025706,-763881215,5040,-30730,0.261,0.6904557,0.614,0.89100003,0.62,1.03,96,51,0.021000002,-0.021000002,0.001,-0.98100007,0.16298686,0,4,1,19
1727991489,1686681543599521,371025706,-763881217,5258,-30512,0.259,0.69049776,0.61300004,0.89300007,0.62,1.03,96,51,0.193,-0.14600001,-0.127,-1.0400001,0.16298686,0,4,1,19
1728192483,1686681543799521,371025705,-763881219,5470,-30300,0.25800002,0.6905308,0.611,0.89400005,0.62,1.03,96,51,0.15900001,-0.15900001,0.004,-0.81900007,0.16298686,0,4,1,19
1728395593,1686681543999522,371025702,-763881219,5664,-30106,0.25100002,0.56113434,0.609,0.89400005,0.62,1.03,96,51,0.287,-0.287,-0.014,-0.80700004,1.9859184,0,4,1,19
