timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
1244900774,0.22268803,-0.037491996,0.34508616
1244915752,0.2197166,-0.022193827,0.3554734
1244929017,0.21377371,-0.022193827,0.34063447
1244953135,0.212288,-0.037491996,0.35844123
1244979877,0.22714518,-0.037491996,0.3554734
1244992111,0.212288,-0.040551625,0.35844123
1245004791,0.2360595,-0.028313093,0.3510217
1245028760,0.21525945,-0.028313095,0.3628929
1245041410,0.22268803,-0.04514108,0.34805393
1245052863,0.23457377,-0.019134192,0.34063447
1245065031,0.23011662,-0.037491996,0.33618277
1245076795,0.21823087,-0.039021812,0.34953785
1245089443,0.21823087,-0.046670895,0.34063447
1245100876,0.22417374,-0.039021812,0.34657004
1245113670,0.20931657,-0.028313095,0.3510217
1245137683,0.22268803,-0.037491996,0.34508616
1245148993,0.21823087,-0.031372726,0.3510217
1245161462,0.20783085,-0.039021812,0.34953785
1245173412,0.24200237,-0.034432355,0.3599251
1245185518,0.21525945,-0.03443236,0.34805393
1245209576,0.2286309,-0.051260345,0.3510217
1245233825,0.21823087,-0.039021812,0.3554734
1245245660,0.20188798,-0.040551625,0.35398954
1245257810,0.21525945,-0.014544743,0.34805393
1245281623,0.21823087,-0.03443236,0.34211835
1245305255,0.21823087,-0.04514108,0.3287633
1245316768,0.21823087,-0.060439248,0.34508616
1245329494,0.22268803,-0.019134194,0.3346989
1245340913,0.2197166,-0.029842911,0.3599251
1245353817,0.24497381,-0.04667089,0.34657004
1245365593,0.20040226,-0.043611262,0.34657004
1245401627,0.21823087,-0.028313095,0.34508616
1245413656,0.20931657,-0.029842911,0.34657004
1245427734,0.21377371,-0.029842911,0.34953785
1245440512,0.2286309,-0.031372726,0.34508616
1245465424,0.212288,-0.028313095,0.35844123
1245477628,0.2197166,-0.032902543,0.34953785
1245489594,0.22565947,-0.020664008,0.33915055
1245500792,0.21377371,-0.032902543,0.34063447
1245513454,0.21823087,-0.032902543,0.33618277
1245537468,0.20931657,-0.029842911,0.34953785
1245548820,0.21377371,-0.039021812,0.34657004
1245561210,0.21823087,-0.026783276,0.34953785
1245572801,0.20783085,-0.019134194,0.34211835
1245585337,0.23457377,-0.037491992,0.34063447
1245596756,0.21823087,-0.043611262,0.34657004
1245620983,0.22565947,-0.019134192,0.34805393
1245644852,0.22565947,-0.03443236,0.35398954
1245657134,0.21525945,-0.02066401,0.35398954
1245668768,0.21377371,-0.032902543,0.34063447
1245681334,0.21525945,-0.037491996,0.35844123
1245692788,0.21525945,-0.037491996,0.35398954
1245716821,0.2197166,-0.046670895,0.3554734
1245744436,0.22417374,-0.037491996,0.35250562
1245769677,0.21525945,-0.031372726,0.3510217
1245795685,0.21823087,-0.039021812,0.33321497
1245809255,0.21525945,-0.03443236,0.33321497
1245833474,0.212288,-0.040551625,0.3243116
1245844909,0.21823087,-0.046670895,0.34657004
1245857273,0.22714518,-0.06502869,0.3599251
1245881206,0.2524024,-0.06502869,0.33321497
1245904999,0.23903093,-0.08338649,0.3257955
1245917028,0.25388813,-0.072677776,0.31540823
1245929247,0.24497381,-0.06961814,0.3272794
1245940865,0.24497381,-0.06502869,0.34805393
1245953298,0.24794525,-0.091035575,0.3287633
1245988852,0.2524024,-0.0742076,0.31985992
1246001521,0.2553738,-0.091035575,0.31540823
1246013596,0.24794525,-0.091035575,0.3228277
1246027822,0.24497382,-0.091035575,0.3257955
1246040671,0.2524024,-0.09715485,0.31540823
1246065303,0.24051666,-0.08950576,0.31837603
1246076881,0.26280242,-0.071147956,0.3287633
1246089597,0.2613167,-0.078797035,0.33173108
1246100699,0.25834528,-0.081856675,0.3287633
1246113464,0.2613167,-0.08491631,0.31837603
1246137547,0.24794523,-0.07726722,0.3228277
