timestamp,lat,lon,alt,delta_alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
4384791733,37.1024969128307,-76.38844143643942,8.636432,-0.0,0.10950786,-0.09938924,0.03829103,-0.08161745,1.2127497,1.8804297,0.0,2,0,0,0
4384996378,37.10249705230135,-76.3884416957314,8.627325,-0.0,0.11803067,-0.09683999,0.039942205,-0.081465654,1.212753,1.8802577,0.0,2,0,0,0
4385197352,37.10249717808367,-76.38844196715327,8.618388,-0.0,0.10066497,-0.11111335,0.040874057,-0.08097828,1.2127918,1.8802927,0.0,2,0,0,0
4385398171,37.102497293591256,-76.38844223367137,8.605274,-0.0,0.09977791,-0.10846173,0.038143802,-0.08209197,1.212864,1.8803304,0.0,2,0,0,0
4385602946,37.102497385650395,-76.388442502598,8.578756,-0.0,0.112466425,-0.1086325,0.031111285,-0.08090231,1.2132083,1.8804438,0.0,2,0,0,0
4385806955,37.10249747681827,-76.3884426807644,8.562016,-0.0,0.030730871,0.14754358,-0.19393133,-0.06941021,1.2133136,1.8804815,0.0,2,0,0,0
4386007725,37.102497292958226,-76.38844202006227,8.651884,-0.0,-0.06758274,0.32860103,-0.80478996,-0.06210495,1.2136188,1.8803619,0.0,2,0,0,0
4386208518,37.10249691165024,-76.38844103253497,8.877288,-0.0,-0.19439264,0.53665286,-0.9420513,-0.05888246,1.2135801,1.8803569,0.0,2,0,0,0
4386409327,37.10249642841904,-76.38843990133864,9.128413,-0.0,-0.23002507,0.53745925,-0.91848665,-0.054849353,1.2136636,1.8803871,0.0,2,0,0,0
4386614138,37.10249600220507,-76.3884387689386,9.310795,-0.0,-0.20944043,0.47159016,-0.88202363,-0.048822466,1.2140307,1.8805,0.0,2,0,0,0
4386814138,37.10249556957501,-76.38843773968682,9.44584,-0.0,-0.18477124,0.37847272,-0.8246845,-0.043239344,1.2139512,1.8802794,0.0,2,0,0,0
4387014726,37.102495198815035,-76.38843690313996,9.582051,-0.0,-0.10414637,0.266714,-0.84331864,-0.0350659,1.2140458,1.8803203,0.0,2,0,0,0
