timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,vision_attitude_timestamp_rel,vision_position_timestamp_rel
2508855675,32767,32767,32767,32767,32767,32767,32767,32767
2508859716,32767,32767,32767,32767,32767,32767,32767,32767
2508863685,32767,32767,32767,32767,-49,-50,32767,32767
2508867674,32767,32767,32767,32767,32767,32767,32767,32767
2508871674,32767,32767,32767,32767,32767,32767,32767,32767
2508875674,32767,32767,32767,32767,-50,-50,32767,32767
2508879674,32767,32767,32767,32767,32767,32767,32767,32767
2508883675,32767,32767,32767,32767,32767,32767,32767,32767
2508887674,32767,32767,32767,32767,32767,32767,32767,32767
2508891674,32767,32767,32767,32767,32767,32767,32767,32767
2508895674,32767,32767,32767,32767,32767,32767,32767,32767
2508899674,32767,32767,32767,32767,32767,32767,32767,32767
2508903674,32767,32767,32767,32767,-59,32767,32767,32767
2508907679,32767,32767,32767,32767,32767,32767,32767,32767
2508911684,32767,32767,-42,32767,32767,32767,32767,32767
2508915675,32767,32767,32767,32767,-52,-53,32767,32767
2508919674,32767,32767,32767,32767,32767,32767,32767,32767
2508923676,32767,32767,32767,32767,32767,32767,32767,32767
2508927682,32767,32767,32767,32767,-50,-50,32767,32767
2508931674,32767,32767,32767,32767,32767,32767,32767,32767
2508935674,32767,32767,32767,32767,32767,32767,32767,32767
2508939674,32767,32767,32767,32767,32767,32767,32767,32767
2508943678,32767,32767,32767,32767,32767,32767,32767,32767
2508947697,32767,32767,32767,32767,32767,32767,32767,32767
2508951674,32767,32767,32767,32767,-50,-50,32767,32767
2508955681,32767,32767,32767,32767,32767,32767,32767,32767
2508959674,32767,32767,32767,32767,32767,32767,32767,32767
2508963674,32767,32767,32767,32767,-50,-50,32767,32767
2508967717,32767,32767,32767,32767,32767,32767,32767,32767
2508971675,32767,32767,32767,32767,32767,32767,32767,32767
2508975674,32767,32767,32767,32767,32767,32767,32767,32767
2508979674,32767,32767,32767,32767,-62,-62,32767,32767
2508983680,32767,32767,32767,32767,32767,32767,32767,32767
2508987673,32767,32767,32767,32767,32767,32767,32767,32767
2508991674,32767,32767,32767,32767,32767,-59,32767,32767
2508995674,32767,32767,32767,32767,32767,32767,32767,32767
2508999674,32767,32767,32767,32767,32767,32767,32767,32767
2509003674,32767,32767,32767,32767,-54,32767,32767,32767
2509007702,32767,32767,32767,32767,32767,32767,32767,32767
2509011674,32767,32767,32767,32767,32767,32767,32767,32767
2509015674,32767,32767,32767,32767,-50,32767,32767,32767
2509019674,32767,32767,32767,32767,32767,32767,32767,32767
2509023674,32767,32767,32767,32767,32767,32767,32767,32767
2509027674,32767,32767,32767,32767,-52,-52,32767,32767
2509031674,32767,32767,32767,32767,32767,32767,32767,32767
2509035674,32767,32767,32767,32767,32767,32767,32767,32767
